artifact_type,severity,method,params,mse,corr,snr_after_db,snr_improvement_db,mean_band_rel_error,combined_score
blink,high,ICA,"n_components=30, top_k=2, excluded=[np.int64(1), np.int64(10)]",1.7465826051202373e-11,0.9960079117033512,20.65575388316799,17.79902445792942,0.0020459120658175727,0.9999999999990952
blink,low,ICA,"n_components=15, top_k=1, excluded=[np.int64(13)]",1.1368510790237537e-11,0.9973553537055283,22.396267162104383,6.975120942906116,0.0009242003342105038,0.9999999999956763
blink,medium,ICA,"n_components=10, top_k=3, excluded=[np.int64(9), np.int64(8), np.int64(7)]",1.2077223004572881e-10,0.972152450155556,12.463958690350534,3.3898561849488402,0.022587122636977115,0.9882869574075712
drift,high,Butterworth+Notch,"l=0.5, h=45.0, order=2, q=40.0",2.0678932657518488e-10,0.951332551222737,10.143208929132621,2.6263158226507954,0.03337000868089349,0.999999999997329
drift,low,Wavelet,"wavelet=coif3, level=3, thresh=0.8, mode=hard",8.53555786118419e-11,0.980005230959552,13.956537300480296,-4.947683834220786,0.030636563372521415,0.9999999999921394
drift,medium,ICA,"n_components=10, top_k=1, excluded=[np.int64(9)]",1.457997621930493e-10,0.9667528637832317,11.652187764406143,-1.0350009515584482,0.009937801431505779,0.9999999999885159
emg,high,ICA,"n_components=30, top_k=1, excluded=[np.int64(29)]",2.4986871534219657e-11,0.9941809053937347,19.171901289889853,-0.8282711021990181,0.00595522869858075,0.9999999999951517
emg,low,Wavelet,"wavelet=coif3, level=3, thresh=0.8, mode=hard",6.041539199194374e-11,0.9858300490843712,15.436669003545243,-13.457326319332578,0.03050082641793986,0.9999999999935831
emg,medium,ICA,"n_components=30, top_k=1, excluded=[np.int64(29)]",1.4391234033011242e-11,0.9966488582933086,21.44670686550353,-2.608801452056337,0.003124783596429633,0.9999999999953033
eye_movement,high,ICA,"n_components=10, top_k=2, excluded=[np.int64(5), np.int64(9)]",6.924399120251727e-11,0.9839329408359759,14.85334948655762,7.065106381145065,0.017357303218442276,0.9999999999977132
eye_movement,low,ICA,"n_components=15, top_k=3, excluded=[np.int64(13), np.int64(12), np.int64(14)]",6.368525100160339e-11,0.9853789065238646,15.211388607858057,1.9950562965085403,0.005585783018873821,0.9999999999943923
eye_movement,medium,ICA,"n_components=10, top_k=1, excluded=[np.int64(8)]",1.1508638827998893e-11,0.9973163290612327,22.34734075523154,6.052061812386523,0.005734550487552706,0.9999999999962297
line,high,ICA,"n_components=10, top_k=2, excluded=[np.int64(8), np.int64(9)]",6.5305635720706235e-12,0.9984780158985272,24.551166493566143,11.643845915763706,0.002557529706832674,0.999999999996181
line,low,Wavelet,"wavelet=coif3, level=3, thresh=0.8, mode=hard",8.005589578355321e-11,0.9811793644636279,14.23159518766849,-8.563605250308214,0.04621510741255351,0.9865959960109006
line,medium,ICA,"n_components=30, top_k=2, excluded=[np.int64(27), np.int64(24)]",3.3627875468498634e-12,0.9992165874373927,26.921800636756394,9.46330154355693,0.002130130544668964,0.9999999999955262
mixed,high,Butterworth+Notch,"l=1.0, h=45.0, order=2, q=40.0",5.11196310413868e-10,0.8731975941512296,6.2250768276947905,8.441294465676394,0.09492760013271392,0.9638879692052478
mixed,low,Wavelet,"wavelet=coif3, level=3, thresh=0.8, mode=hard",1.3299341406321908e-10,0.9688281971732774,12.048606756943501,-3.3193611901218407,0.05720484809692664,0.9688766121693654
mixed,medium,ICA,"n_components=15, top_k=1, excluded=[np.int64(13)]",3.372437910904887e-11,0.992212485322815,17.913096394343558,1.526285914701866,0.0016707977200770162,0.9999999999948896
motion,high,Wavelet,"wavelet=coif3, level=3, thresh=0.8, mode=hard",9.165213941580834e-11,0.9785476380873346,13.650886764943326,-4.3545893619205,0.03817644977587957,0.9941987855540635
motion,low,Wavelet,"wavelet=coif3, level=3, thresh=0.8, mode=hard",5.933259432188136e-11,0.9860858114901851,15.513921279628477,-15.696646528859162,0.030055199708574107,0.9999999999953848
motion,medium,ICA,"n_components=30, top_k=1, excluded=[np.int64(29)]",2.862908373887373e-12,0.999333273914502,27.45029721454756,-1.2884883729502192,0.0013481065467886133,0.9999999999955669
