artifact_type,severity,method,mse,corr,snr_before_db,snr_after_db,snr_improvement_db,mean_band_rel_error,combined_score,l_freq,h_freq,order,q,mysize,wavelet,level,threshold_scale,mode,n_components,top_k,excluded_components,converged
line,low,Wavelet,8.005589578355321e-11,0.9811793644636279,22.795200437976703,14.23159518766849,-8.563605250308214,0.04621510741255351,0.9865959960109006,,,,,,coif3,3.0,0.8,hard,,,,
line,medium,ICA,3.3627875468498634e-12,0.9992165874373927,17.458499093199464,26.921800636756394,9.46330154355693,0.002130130544668964,0.9999999999955262,,,,,,,,,,30.0,2.0,"[np.int64(27), np.int64(24)]",True
line,high,ICA,6.5305635720706235e-12,0.9984780158985272,12.907320577802437,24.551166493566143,11.643845915763706,0.002557529706832674,0.999999999996181,,,,,,,,,,10.0,2.0,"[np.int64(8), np.int64(9)]",True
blink,low,ICA,1.1368510790237537e-11,0.9973553537055283,15.421146219198267,22.396267162104383,6.975120942906116,0.0009242003342105038,0.9999999999956763,,,,,,,,,,15.0,1.0,[np.int64(13)],True
blink,medium,ICA,1.2077223004572881e-10,0.972152450155556,9.074102505401694,12.463958690350534,3.3898561849488402,0.022587122636977115,0.9882869574075712,,,,,,,,,,10.0,3.0,"[np.int64(9), np.int64(8), np.int64(7)]",True
blink,high,ICA,1.7465826051202373e-11,0.9960079117033512,2.8567294252385684,20.65575388316799,17.79902445792942,0.0020459120658175727,0.9999999999990952,,,,,,,,,,30.0,2.0,"[np.int64(1), np.int64(10)]",True
drift,low,Wavelet,8.53555786118419e-11,0.980005230959552,18.904221134701082,13.956537300480296,-4.947683834220786,0.030636563372521415,0.9999999999921394,,,,,,coif3,3.0,0.8,hard,,,,
drift,medium,ICA,1.457997621930493e-10,0.9667528637832317,12.687188715964592,11.652187764406143,-1.0350009515584482,0.009937801431505779,0.9999999999885159,,,,,,,,,,10.0,1.0,[np.int64(9)],True
drift,high,Butterworth+Notch,2.0678932657518488e-10,0.951332551222737,7.516893106481826,10.143208929132621,2.6263158226507954,0.03337000868089349,0.999999999997329,0.5,45.0,2.0,40.0,,,,,,,,,
emg,low,Wavelet,6.041539199194374e-11,0.9858300490843712,28.89399532287782,15.436669003545243,-13.457326319332578,0.03050082641793986,0.9999999999935831,,,,,,coif3,3.0,0.8,hard,,,,
emg,medium,ICA,1.4391234033011242e-11,0.9966488582933086,24.055508317559866,21.44670686550353,-2.608801452056337,0.003124783596429633,0.9999999999953033,,,,,,,,,,30.0,1.0,[np.int64(29)],True
emg,high,ICA,2.4986871534219657e-11,0.9941809053937347,20.00017239208887,19.171901289889853,-0.8282711021990181,0.00595522869858075,0.9999999999951517,,,,,,,,,,30.0,1.0,[np.int64(29)],True
eye_movement,low,ICA,6.368525100160339e-11,0.9853789065238646,13.216332311349516,15.211388607858057,1.9950562965085403,0.005585783018873821,0.9999999999943923,,,,,,,,,,15.0,3.0,"[np.int64(13), np.int64(12), np.int64(14)]",True
eye_movement,medium,ICA,1.1508638827998893e-11,0.9973163290612327,16.295278942845016,22.34734075523154,6.052061812386523,0.005734550487552706,0.9999999999962297,,,,,,,,,,10.0,1.0,[np.int64(8)],True
eye_movement,high,ICA,6.924399120251727e-11,0.9839329408359759,7.788243105412556,14.85334948655762,7.065106381145065,0.017357303218442276,0.9999999999977132,,,,,,,,,,10.0,2.0,"[np.int64(5), np.int64(9)]",True
motion,low,Wavelet,5.933259432188136e-11,0.9860858114901851,31.21056780848764,15.513921279628477,-15.696646528859162,0.030055199708574107,0.9999999999953848,,,,,,coif3,3.0,0.8,hard,,,,
motion,medium,ICA,2.862908373887373e-12,0.999333273914502,28.73878558749778,27.45029721454756,-1.2884883729502192,0.0013481065467886133,0.9999999999955669,,,,,,,,,,30.0,1.0,[np.int64(29)],True
motion,high,Wavelet,9.165213941580834e-11,0.9785476380873346,18.005476126863826,13.650886764943326,-4.3545893619205,0.03817644977587957,0.9941987855540635,,,,,,coif3,3.0,0.8,hard,,,,
mixed,low,Wavelet,1.3299341406321908e-10,0.9688281971732774,15.367967947065342,12.048606756943501,-3.3193611901218407,0.05720484809692664,0.9688766121693654,,,,,,coif3,3.0,0.8,hard,,,,
mixed,medium,ICA,3.372437910904887e-11,0.992212485322815,16.386810479641692,17.913096394343558,1.526285914701866,0.0016707977200770162,0.9999999999948896,,,,,,,,,,15.0,1.0,[np.int64(13)],True
mixed,high,Butterworth+Notch,5.11196310413868e-10,0.8731975941512296,-2.216217637981604,6.2250768276947905,8.441294465676394,0.09492760013271392,0.9638879692052478,1.0,45.0,2.0,40.0,,,,,,,,,
