artifact_type,severity,best_method,runner_up_method,best_score,runner_up_score,score_gap,best_snr_after_db,runner_up_snr_after_db,snr_after_gap_db,best_mse,runner_up_mse,mse_gap
blink,high,ICA,Butterworth+Notch,0.9999999999990952,0.5302545734517318,0.4697454265473634,20.65575388316799,6.730963233218372,13.924790649949617,1.7465826051202373e-11,4.548771296664576e-10,4.374113036152552e-10
blink,low,ICA,Wavelet,0.9999999999956763,0.44417901437149854,0.5558209856241778,22.396267162104383,12.514955953749936,9.881311208354447,1.1368510790237537e-11,1.193506757505891e-10,1.0798216496035157e-10
blink,medium,ICA,Butterworth+Notch,0.9882869574075712,0.3981253404282429,0.5901616169793283,12.463958690350534,8.65062268395651,3.8133360063940245,1.2077223004572881e-10,2.9200960710395473e-10,1.7123737705822591e-10
drift,high,Butterworth+Notch,Wavelet,0.999999999997329,0.49883668742403053,0.5011633125732985,10.143208929132621,6.893610490621005,3.249598438511616,2.0678932657518488e-10,4.381198601169865e-10,2.313305335418016e-10
drift,low,Wavelet,Wiener,0.9999999999921394,0.48037320230772956,0.5196267976844098,13.956537300480296,12.304750640201894,1.6517866602784022,8.53555786118419e-11,1.2531911213628337e-10,3.996353352444148e-11
drift,medium,ICA,Wavelet,0.9999999999885159,0.6424608423388046,0.3575391576497112,11.652187764406143,10.904252808924998,0.7479349554811456,1.457997621930493e-10,1.7338890374629326e-10,2.7589141553243953e-11
emg,high,ICA,Wavelet,0.9999999999951517,0.6586174689942128,0.34138253100093885,19.171901289889853,14.392928013311648,4.7789732765782045,2.4986871534219657e-11,7.710005274135754e-11,5.211318120713788e-11
emg,low,Wavelet,ICA,0.9999999999935831,0.9826937809515552,0.017306219042027893,15.436669003545243,15.312608812524008,0.12406019102123444,6.041539199194374e-11,6.219507698380871e-11,1.7796849918649743e-12
emg,medium,ICA,Wavelet,0.9999999999953033,0.6485903840180194,0.35140961597728393,21.44670686550353,15.09764568750474,6.34906117799879,1.4391234033011242e-11,6.540175527611492e-11,5.1010521243103675e-11
eye_movement,high,ICA,Butterworth+Notch,0.9999999999977132,0.3391682640788116,0.6608317359189015,14.85334948655762,7.742149658142553,7.111199828415067,6.924399120251727e-11,3.601845483209446e-10,2.909405571184273e-10
eye_movement,low,ICA,Wavelet,0.9999999999943923,0.4259059024592815,0.5740940975351108,15.211388607858057,11.248246486673768,3.9631421211842888,6.368525100160339e-11,1.6010888048159471e-10,9.642362947999132e-11
eye_movement,medium,ICA,Wavelet,0.9999999999962297,0.5125349602070877,0.487465039789142,22.34734075523154,12.948278811004261,9.399061944227277,1.1508638827998893e-11,1.079221605726211e-10,9.64135217446222e-11
line,high,ICA,Wiener,0.999999999996181,0.33054014684796446,0.6694598531482165,24.551166493566143,13.011763340327676,11.539403153238467,6.5305635720706235e-12,1.063415332662975e-10,9.981096969422688e-11
line,low,Wavelet,Wiener,0.9865959960109006,0.6493882968259628,0.33720769918493787,14.23159518766849,13.293243990614512,0.9383511970539775,8.005589578355321e-11,9.96050379982834e-11,1.954914221473019e-11
line,medium,ICA,Wavelet,0.9999999999955262,0.3027181300684504,0.6972818699270759,26.921800636756394,12.023682912368594,14.8981177243878,3.3627875468498634e-12,1.3376460330780901e-10,1.3040181576095915e-10
mixed,high,Butterworth+Notch,ICA,0.9638879692052478,0.7174799124081659,0.2464080567970819,6.2250768276947905,2.23109516209229,3.9939816656025005,5.11196310413868e-10,1.2837972911673905e-09,7.726009807535225e-10
mixed,low,Wavelet,Wiener,0.9688766121693654,0.6336767409349016,0.3351998712344638,12.048606756943501,11.59743732692518,0.45116943001832155,1.3299341406321908e-10,1.4766214533707576e-10,1.4668731273856686e-11
mixed,medium,ICA,Wiener,0.9999999999948896,0.3855116785577545,0.6144883214371352,17.913096394343558,12.98863305468399,4.924463339659567,3.372437910904887e-11,1.0691475349330886e-10,7.319037438425999e-11
motion,high,Wavelet,Wiener,0.9941987855540635,0.5273362980781396,0.46686248747592385,13.650886764943326,12.094784420698137,1.5561023442451898,9.165213941580834e-11,1.31576236522034e-10,3.992409710622565e-11
motion,low,Wavelet,Wiener,0.9999999999953848,0.5814225158639672,0.4185774841314176,15.513921279628477,13.306842395257778,2.2070788843706985,5.933259432188136e-11,9.929052135243892e-11,3.995792703055756e-11
motion,medium,ICA,Wavelet,0.9999999999955669,0.5917646706253367,0.4082353293702302,27.45029721454756,15.424881560753432,12.025415653794129,2.862908373887373e-12,6.05823095491337e-11,5.7719401175246335e-11
