artifact_type,severity,method,mean_mse,std_mse,mean_corr,std_corr,mean_snr_after_db,std_snr_after_db,mean_snr_improvement_db,std_snr_improvement_db,mean_band_rel_error,std_band_rel_error,mean_combined_score,std_combined_score,n_subjects
blink,high,ICA,3.213896918583135e-11,1.4558196241614935e-11,0.9838984926688351,0.018245363905312645,16.458931946693163,4.097698610743863,7.354880791100349,4.336142409372741,0.014027789582005675,0.016394215120699173,0.9999999999970901,2.1354271788017684e-12,4
blink,high,Wavelet,3.645824075240755e-11,,0.9617010929403541,,11.052766486264002,,-3.3186140376071194,,0.05831117552802277,,0.9651958026174882,,1
blink,low,ICA,4.76672165291619e-12,3.0518052147712397e-13,0.9973874723319267,0.002443998546740282,23.22686750356486,4.903428760455858,1.8401170251478316,6.9580798151629555,0.005919981131199835,0.006286980235861496,0.9999999999958252,1.5203205277434994e-12,2
blink,low,Butterworth+Notch,4.017228995937769e-11,,0.975076376252223,,12.961404276081423,,-3.3578525407456876,,0.02105964388158836,,0.9999999999937434,,1
blink,low,Wavelet,4.7919228156902586e-11,3.6106354540900324e-11,0.9812698545423415,0.007051249640801728,14.33934740001563,1.7551400433056357,-10.283564002727502,2.653669605113468,0.04355698699011194,0.014618609468066895,0.9785725762461848,0.03030295327218893,2
blink,medium,ICA,4.699801657085916e-11,4.3630632505918777e-11,0.9829408993426678,0.010847935293044581,15.078880236946983,2.4976245293977333,4.646475324477128,1.9171236505176885,0.011517361002217879,0.005170343131086451,0.9990141872539423,0.0011497611557510616,5
drift,high,Butterworth+Notch,1.2961914654033105e-10,1.1220863287304935e-10,0.9538299411960253,0.019465524423383448,10.682396014437959,1.903811134813333,2.549507474964153,1.875105385437424,0.034800520998657686,0.018507693928510482,0.9853123308262056,0.01342118365489141,5
drift,low,Wavelet,1.7986334924515677e-11,,0.9827586801686937,,14.41886311820602,,-4.71594994311063,,0.028759292440253912,,0.9999999999960743,,1
drift,low,ICA,3.5447469730786746e-11,1.812644074754512e-11,0.9868679263480662,0.005666384946834888,15.952344035723788,1.8888971105207812,-2.796786251078063,1.6801149292916053,0.012224733270176442,0.01013115146060779,0.9966190984797669,0.006761803027714434,4
drift,medium,ICA,3.0451078785565354e-11,,0.9717814677576897,,12.226919029828185,,-1.3529405171806292,,0.01715270605670196,,0.9999999999950537,,1
drift,medium,Butterworth+Notch,3.505759137345118e-11,4.43741166568462e-12,0.9697478034811297,0.014967450495695638,12.39438617595922,2.175749947786216,-0.6464475943349361,2.352763284477638,0.01869130779480916,0.012499426754464077,0.9912161121917449,0.012422293238673022,2
drift,medium,Wavelet,2.2907188835720887e-10,3.1677463150541776e-11,0.9588312380211259,0.007054106776748905,10.78306334803758,0.7157341464482254,-1.3030423176313244,0.14856077102187887,0.030737092268019073,0.00629084804580497,0.986393213923495,0.013809203163496254,2
emg,high,ICA,4.0553279671229735e-11,4.2898064513717446e-11,0.9857582105802557,0.0034567804317154893,15.371088851203249,1.0740810657487352,-4.16648035656607,0.9632500824589614,0.023458463143643905,0.011702010103336354,0.9981112583320016,0.0032713965182358615,3
emg,high,Wavelet,4.880426443562449e-11,4.3743650044323435e-11,0.9842769807908003,0.0019830429287480225,14.918601086038649,0.66990946785973,-4.266219235890263,0.36470097852959393,0.022912441173437097,0.005409190760368577,0.992811067720109,0.006194157497223597,2
emg,low,ICA,6.5357744378258694e-12,,0.9959788612111293,,20.336175596810193,,-6.474928580324438,,0.0037719579777888037,,0.9999999999937761,,1
emg,low,Wavelet,3.9654280840118657e-11,2.7926776886022804e-11,0.9857229262905834,0.005189476016097854,15.506975621127335,1.5231153587341308,-11.630066752973756,1.3744374326798965,0.034877461324237295,0.0136104369357721,0.9888967932255928,0.02220641353867585,4
emg,medium,ICA,7.818485507109856e-12,6.007043752609564e-13,0.993790563934748,0.0023541918268131425,18.706468294245873,1.6425237571232552,-4.5548053593668225,1.1661260136938143,0.010080540487217411,0.008503786590424927,0.9999999999951884,2.114129495617703e-12,2
emg,medium,Wavelet,5.334736147316706e-11,2.891309915639527e-11,0.9838758752282675,0.006173023340784733,15.049816926986564,1.6903219230777948,-8.26343563143557,1.0585783947800833,0.036862868440974285,0.016312460941557964,0.985226055411066,0.025589222644421563,3
