artifact_type,severity,method,win_count
blink,high,ICA,4
blink,high,Wavelet,1
blink,low,ICA,2
blink,low,Wavelet,2
blink,low,Butterworth+Notch,1
blink,medium,ICA,5
drift,high,Butterworth+Notch,5
drift,low,ICA,4
drift,low,Wavelet,1
drift,medium,Butterworth+Notch,2
drift,medium,Wavelet,2
drift,medium,ICA,1
emg,high,ICA,3
emg,high,Wavelet,2
emg,low,Wavelet,4
emg,low,ICA,1
emg,medium,Wavelet,3
emg,medium,ICA,2
line,high,ICA,5
line,low,ICA,4
line,low,Wavelet,1
line,medium,ICA,4
line,medium,Wiener,1
mixed,high,Butterworth+Notch,3
mixed,high,ICA,2
mixed,low,ICA,4
mixed,low,Butterworth+Notch,1
mixed,medium,ICA,4
mixed,medium,Butterworth+Notch,1
